platform,komentar,timestamp
YouTube,"Di Sumut banyak kriminalisasi, asal sudah masuk status bisa cepat berubah dengan alasan prosedur kerja, beragam modus dikerjakan, ujung-ujungnya duit. Belum jatuh vonis merekalah penyidik, merekalah penuntut dan merekalah hakimnya demi DUIT HARAM",2026-04-18 12:13:34
YouTube,Pemerintah harus benar2 menyoroti kasus ini Agar kedepannya tidak ada atau mengurangi orang2 yg ekonomi lemah yg tidak bisa melakukan perlawanan  yg akhir dipenjara tanpa kejelasan hukum  Tidak menutup kemungkinan kasus ini terjadi dalam perkara lain dan bisa kita pastikan tidak semua masyarakat se Kritis dan punya power untuk melakukan perlawanan hukum seperti bg amsal ini,2026-04-18 12:13:34
YouTube,"Betul , auditor dari jaksa pasti akan ditemukan oleh netizen . Krn netizen kita orngnya luar biasa . Auditornya seharusnya dikasih pelajaran dan di tuntun gara2 dia orang yg tdk bersalah jd tersangka.",2026-04-18 12:13:34
YouTube,"tolong undang ahlinya ahli bang, yang kasih perhitungannya  ide 0 rupiah, dubing 0 rupiah.",2026-04-18 12:13:34
YouTube,"Semangat bang Amsal sitepu, kita tetap mendukung , salam mejuah - juah .",2026-04-18 12:13:34
YouTube,"Dari podcast ini kita bs tau knp Tuhan memilih bang Amsal dgn segala pergulatan ini. Abang hebat, pikiran dan hati abang bs di tata dgn baik walopun sdh ada di tengah2 pertarungan. Keluarga abang hebat, sangat supportive. Terimakasih sdh sharing bang, terimakasih sdh berjuang untuk diri abang dan untuk para ekonomi kreatif di negri ini.",2026-04-18 12:13:34
YouTube,"1. Auditornya siapa? 2. Kerugian negara yang ditujukan ke Abang ini jadinya kemana? Ke tangan lain kah? 3. Selalu tersorot tapi ga ada perubahan, overload-nya rutan di Negara ini. 4. Bisa saja ada orang lain yang seperti si Abang tetapi ga ada perlawanan, kasihan sih.",2026-04-18 12:13:34
YouTube,Wallahi... Kasusmu Insyaa Allah bisa menguatkan semua orang yg sedang mengalami ujian terberat yang tidak pernah mereka alami sebelumnya!,2026-04-18 12:13:34
YouTube,"saya sebagai pekerja creative kbetulan juga sbg fotografer dan videografer wedding emang kurang enak kalo dapat job dari pemerintah wkwk ribet trus resiko lagi, mending gas foto wedding dan portrait saja,,",2026-04-18 12:13:34
YouTube,"hebat banget bang Amsal, sabar dan selalu mengandalkan Tuhan",2026-04-18 12:13:34
YouTube,Akhirnyaaa upload jugaaa,2026-04-18 12:13:34
YouTube,Jaksa jaksa biadab Apa mereka ga punya hati nurani Apa mereka tidak punya hati Apa mereka masih bisa tidur nyenyak setelah menghancurkan hidup orang lainnya Semua jaksa2 yang terlibat seharusnya di pecat dan di proses hukum,2026-04-18 12:13:34
YouTube,"Tuntut balik bg inspektoratnya, gada otaknya.",2026-04-18 12:13:34
YouTube,Saya lihat kasus ini viral setelah lihat di bang Ferry Irwandi yang bilang kasus ini harus dikawal saking kesalnya dengan kedunguan yang tampil di ruang publik,2026-04-18 12:13:34
YouTube,Org jujur pasti bnyk musuh,2026-04-18 12:13:34
YouTube,"Gak kerasa nanggis terima kasih bang amsal saya melihat ketulusan ketegaran kebenaran dan keberanian disetiap kata yg abang lontarkan , saya masih gak hbs pikir sama permasalahan yg dipaksakan tapi semua itu ada hikmahnya bang dr konten kreator di daerah abang menjadi terkenal di indonesia krn 131 hari abang ddlm "" sel yg salah "" itu ditukar dengan berkat aamiin . Sehat selalu buat abang dan keluarga kiranya ibu abang hrs berbangga abang tidak mengambil uang negara dengan menghargai ide dan editing  project yg memang hrs dihargai mahal itu ide dan edit nya . Hatimu baik bang terima kasih semua masyarakat indonesia hrs bantu yg baik dan benar hrs viral makasih bang densu ",2026-04-18 12:13:34
YouTube,Sangat jelas Mens Rea nya si oknum Jaksa,2026-04-18 12:13:34
YouTube,Asalamualaikum bang densu tolong dong up anak SD umur 9 tahun dari Bojonegoro anak jenius ilmu diatas2 rata2 umur seusinya tolong diup bang densu,2026-04-18 12:13:34
YouTube,Mojokerto Jawa Timur hadir bang densu,2026-04-18 12:13:34
YouTube,Sdr Amsal ..seperti Nabi Amsal..yg diberikan Hikmat..tetapi semua ada indah pada waktunya yg diberikan Tuhan kpd Bang Amsal Sitepu ..Tuhan memberkati Bang Amsal...dan Tuhan mengutuki para Jaksa.,2026-04-18 12:13:34
YouTube,"Sebenarnya KASUS INI, AKIBAT REAKTIFNYA PIHAK KEJAKSAAN NEGERI KARO. BERDASARKAN MENONTON RDPU, terlihat mereka DUGAAN SAYA “SANGAT MELAWAN” (Dari Reaksi Bang Hinca, Sbg Pelaku Lapangan)",2026-04-18 12:13:34
YouTube,Keren! Narasumbernya pintar! Public speakingnya bagus teratur jadi kita yang nonton paham. God bless you and your family!,2026-04-18 12:13:35
YouTube,"Bisa jadi judul Film""131Hari""_",2026-04-18 12:13:35
YouTube,"bayangin jaman dulu gk ada internet, berapa banyak yg gk tersorot dan tidak mendapatkan keadilan",2026-04-18 12:13:35
YouTube,"Salut Abang ni memang orang Baik... Berakhir untuk kebaikan semua... walaupun sudah berkorban, materi, waktu, pikiran dll... ",2026-04-18 12:13:35
YouTube,selamat datang di indonesia.. inilah  potret hukum di indonesia,2026-04-18 12:13:35
YouTube,JAKSA JAHAT KORUP,2026-04-18 12:13:35
YouTube,kalo diluar negeri orang yg tidak bersalah dimasukkan tahanan bisa dapat ganti rugi jutaan dollar,2026-04-18 12:13:35
YouTube,God Bless pak Amsal..,2026-04-18 12:13:35
YouTube,"Ambil hikmat nya aja bg, nama makin terkenal, karir makin oke, cuan makin datang.",2026-04-18 12:13:35
YouTube,Tuhan Yesus baik,2026-04-18 12:13:35
YouTube,Sejak kasus NM ..sekarang aq udah mulai hafal cara kerja jaksa ,2026-04-18 12:13:35
YouTube,Dalam hal hal seperti ini channel densu jauh lebih maju daripada channel Deddy Corbuzier,2026-04-18 12:13:35
YouTube,Bang coba hadirkan orang Gereja Aek Nabara yang kasus 28 milliar itu,2026-04-18 12:13:35
YouTube,Bagaimana jika bang Amsal jadi presiden ekonomi kreatif? Buat Kalian para pekerja kreatif setuju tidak? Teruntuk bang Amsal sukses selalu.,2026-04-18 12:13:35
YouTube,Beruntung bang Amsal kasusnya bisa viral. Banyak orang lain dipenjara sana korban kriminalisasi. Semoga bang amsal bisa menjadi inspirasi dan berjuang demi keadilan,2026-04-18 12:13:35
YouTube,Bongkar Modus Mafia Kasus Jaksa nakaal...,2026-04-18 12:13:35
YouTube,Konoha lucunya keterlaluan kalau tidak dilawan ,2026-04-18 12:13:35
YouTube,"Sy udah bersumpah,anak cucu sy haramkan untuk menjadi/kerja di instansi kepolisian dan kejaksaan,,Krn dua penegak hukum ini sama"" kompak/sinkron untuk mempermainkan hukum benar jdi salah dan salah bisa di benarkan mereka.",2026-04-18 12:13:35
YouTube,"Bang amsal, logat Medan pembawaan Jawa. Batak yang soft spoken banget.    Semoga makin sukses kedepan nya bang amsal",2026-04-18 12:13:35
YouTube,Entah mengapa setiap bang densu keluarin kata ( ih' !! ) senyumku pulas. Maaf bang densu ,2026-04-18 12:13:35
YouTube,Kehancuran hukum sudah rahasia umum di konoha ini ,2026-04-18 12:13:35
YouTube,"Mantap bg Amsal. Benar2 ortu abg tidak salah menamai nama abg Amsal, berhikmat. Terimakasih jg sudah mengedukasi netizen terkait marga jgn dijadikan bahan bully. Sukses selalu buat bg Amsal dan keluarga ",2026-04-18 12:13:35
YouTube,"Kalo dengar cerita dari bang Amsal, saya jadi Geram lihat jaksa yg menuntutnya. Lebih adil memang jaksanya dipecat aja. Rusak harkat dan martabat orang dibuat. Padahal ujungnya Amsal tidak bersalah.",2026-04-18 12:13:35
YouTube,Abang ini background pendidikannya manajemen pasti mengerti proses manajemen perusahaan dan tender pengadaan proyek,2026-04-18 12:13:35
YouTube,"Kasus kamu ini bang Amsal KEREN BANGET, sudah bisa dibuat Buku dan FILM tentang Penegakan Hukum di Indonesia yg AMBURADUL, spy ada Perbaikan.",2026-04-18 12:13:35
YouTube,Pertandingan sudah selesai. 131 hari harus berdampak baik untuk pelaku ekonomi kreatif di negeri ini. Keren...,2026-04-18 12:13:35
YouTube,Abg ini fg ku waktu wedding dia baik. Bagus dn emang jujur,2026-04-18 12:13:35
YouTube,"inti nya ""mereka"" gak dikasi bronies sama pak amsal, jadi dikasusin ",2026-04-18 12:13:35
YouTube,"sebagai masyarakat karo yang stay di berastagi,ngerasa akhirnyaa ada juga kasus yg terungkap dri tanah karo ini. karena ga pernah ada apa apa kemajuan di tanah karo ini. pdahal secara apa pun karo ini sangat makmur. semoga ini awal yang baik dari berbenahnya pemerintah di tanah karo ini. kawl terus kasus abang amsal ini. semangat",2026-04-18 12:13:35
YouTube,Masyarakat semakin tau begitulah cara Oknum Penegak Hukum memaksakan Orang yg menjadi kriminal..,2026-04-18 12:13:35
YouTube,No viral no justice,2026-04-18 12:13:35
YouTube,Melihat video ini saya menangis ingat Pa Amsal bercampur emosi melihat aksi Jaksa itu,2026-04-18 12:13:35
YouTube,"Pak amsal pribadi yang baik, sehat selalu pak",2026-04-18 12:13:35
YouTube,"Kalau  amsal masih  bersyukur,karena viral, bagaimana  nasib masyarakat  selama bertahun2 yang  di peras, hukum di jual belikan jaksa, orang yang  ga bersalah dan ga punya uang akhirnya  masuk penjara, bejat jaksa2 di daerah mereka  transaksi uang di warung  kopi untuk  kasus2 .",2026-04-18 12:13:35
YouTube,"Terimakasih untuk podcast yg luar biasa ini, terimakasih bang Amsal ️",2026-04-18 12:13:35
YouTube,No viral no justice ,2026-04-18 12:13:35
YouTube,"Sifat pribadi kekristenan adalah kasih memaafkan bukan mehakimi,,,dengan demikian imannya diteguhkan dan dikuatkan amin....",2026-04-18 12:13:35
YouTube,kalau dikaitkan dgn ayat alkitab bang amsal di tahan selama 131 hari dan baca ayat Amsal 1 : 31 merinding gilaa..memang sudah jalannya bang amsal harus melalui ini dan jadi berkat buat semua..God Bless bang Amsal semoga pemerintah memperbaiki aparat² hukum di negara ini agar lebih baik,2026-04-18 12:13:35
YouTube,Ini konten mahal banget liat bang amsal sma bag densu kalian umat yg disayang Tuhan,2026-04-18 12:13:35
YouTube,Ayoo bang tuntut semua yg terlibat penyidik inspsktorat terutama kejari karo,2026-04-18 12:13:35
YouTube,"RAKYAT HARUS BIJAK DAN PINTAR  ....Ati"" BUZZER ADA DISEKITAR KITA, semua bisa jd tumbal viral pengalihan issue,mental rakyat di obok"",adu domba tujuan memecah belah",2026-04-18 12:13:35
YouTube,Kelihatan sekali bang Amsal ini orang baik,2026-04-18 12:13:35
YouTube,"pelajaran pertama jangan pernah bekerjasama dengan pemerintah baik itu pusat ataupun daerah, banyak orang di pemerintahan itu yang kejar target jadi harus hati""",2026-04-18 12:13:35
YouTube,KPK harus cepat bertindak,2026-04-18 12:13:35
YouTube,"ini seperti kasus saya dulu tahun 2007, ada aparat yang service laptop, lalu nawarin jadi staf ahli, seminggu kemudian toko saya digerebek dengan alasan tidak ada buku manual bahasa indonesia, endingnya laptop stok toko ditahan dan setelah mediasi beberapa kali, laptop stok tsb hanya dibayar setengah harga",2026-04-18 12:13:35
YouTube,"Hukum di indonesia kaya main², kalo gak viral gak bebas",2026-04-18 12:13:35
